SentID_GM,Sentence,Targ,Sentence_With_Blank,SimilarTo_Sentence,SimilarTo_SentID_GM,Alternate_SimilarTo_Sentence,Alternate_SimilarTo_SentID_GM,SimilarTo_Targets
1048,Most people [travail] at some point in their life.,travail,Most people XXXXX at some point in their life.,Most people [swink] at some point in their life.,3087,,,swink
1053,Tony claimed that he [travailed] just as hard as Stan did.,travail,Tony claimed that he [travailed] just as hard as Stan did.,Tony claimed that he [swinked] just as much as Stan did.,3083,,,swinked
1052,Susie decided to [travail] for a few more hours before she ate.,travail,Susie decided to XXXXX for a few more hours before she ate.,Susie decided to [swink] for a few more hours before she ate.,3217,,,swink
1056,Bob typically [travails] the hardest out of all of his friends.,travail,Bob typically [travails] the hardest out of all of his friends.,Bob typically [swinked] the hardest out of all of his friends.,2622,,,swinked
1051,The time has come for all of us to [travail] together.,travail,The time has come for all of us to XXXXX together.,The time has come for all of us to [swink] together.,3215,,,swink
1132,Susan decided to leave because she didn't want to [travail].,travail,Susan decided to leave because she didn't want to [travail].,,,,,
681,"Interrupting someone, even a friend, is considered [uncouth] in many regions.",uncouth,"Interrupting someone, even a friend, is considered XXXXX in many regions.",,,,,
679,Burping at the dinner table is considered [uncouth] in Western cultures.,uncouth,Burping at the dinner table is considered XXXXX in Western cultures.,,,,,
680,If you do not say 'please' and 'thank you' some people might think you're [uncouth].,uncouth,If you do not say 'please' and 'thank you' some people might think you're [uncouth].,,,,,
1134,"John is usually very polite, so we were shocked that he was so [uncouth].",uncouth,"John is usually very polite, so we were shocked that he was so [uncouth].",,,,,
677,The student was considered [uncouth] by all of her high school teachers.,uncouth,The student was considered XXXXX by all of her high school teachers.,The student was considered [incult] by all of her high school teachers.,2310,,,incult
673,The guests were offended when they were accused of being [uncouth].,uncouth,The guests were offended when they were accused of being [uncouth].,,,,,
674,"The kids were asked to behave at the party, but they were deliberately [uncouth].",uncouth,"The kids were asked to behave at the party, but they were deliberately [uncouth].",,,,,
678,"Hippies are generally carefree, but that doesn't mean they are [uncouth].",uncouth,"Hippies are generally carefree, but that doesn't mean they are [uncouth].",,,,,
1136,It is hard to please my mother because she is so [captious].,captious,It is hard to please my mother because she is so [captious].,,,,,
1143,Ted failed to notice that Billy was becoming more [captious].,captious,Ted failed to notice that Billy was becoming more [captious].,,,,,
1148,David avoids Molly because she has a reputation for being [captious].,captious,David avoids Molly because she has a reputation for being [captious].,,,,,
1149,I don't visit my parents very often because they are often [captious].,captious,I don't visit my parents very often because they are often [captious].,,,,,
1154,"After the boy skipped class, he was [chastened] by the Principal.",chasten,"After the boy skipped class, he was [chastened] by the Principal.",,,,,
4378,"After the embarrassing loss, the once-proud team was bruised and [chastened].",chasten,"After the embarrassing loss, the once-proud team was bruised and [chastened].","After the embarrassing loss, the once proud team was bruised and [chastened].",1156,,,chastened
1157,"When he thought about the vastness of the universe, Rob felt deeply [chastened].",chasten,"When he thought about the vastness of the universe, Rob felt deeply [chastened].",,,,,
1159,"We need to place the blame where it belongs, to [chasten] our politicians.",chasten,"We need to place the blame where it belongs, to XXXXX our politicians.",,,,,
1161,"After Jane was finished with everything, she [chastened] them.",chasten,"After Jane was finished with everything, she [chastened] them.",,,,,
NA,"After he lost the fight, the boxer looks a lot more [chastened]. ",chasten,"After he lost the fight, the boxer looks a lot more [chastened].",,,,,
1167,"After the cook's assistant spilled the soup, he was [chastened]. ",chasten,"After the cook's assistant spilled the soup, he was [chastened].",,,,,
1168,Sarah thought she was the best swimmer until the new student [chastened] her.,chasten,Sarah thought she was the best swimmer until the new student [chastened] her.,,,She thought she was the best swimmer until her failure at the Olympics [chastened] her.,2089,chastened
1169,"Even though Ben lost the game badly, he was not [chastened].",chasten,"Even though Ben lost the game badly, he was not [chastened].",,,,,
1171,"After being scolded by his mother, Mike felt [chastened].",chasten,"After being scolded by his mother, Mike felt [chastened].",,,,,
1172,"After John talked back to his mother, his father punished his [insolence].",insolence,"After John talked back to his mother, his father punished his [insolence].",,,,,
1174,John was banned from school after he displayed [insolence] toward the Principal.,insolence,John was banned from school after he displayed XXXXX toward the Principal.,,,,,
1175,Kate's mother was angry and disappointed by her [insolence] toward authority.,insolence,Kate's mother was angry and disappointed by her XXXXX toward authority.,,,,,
1177,The teenager responded with a snicker that bordered on [insolence].,insolence,The teenager responded with a snicker that bordered on [insolence].,,,,,
1184,"Allen never listened, and Jane grew tired of his [insolence].",insolence,"Allen never listened, and Jane grew tired of his [insolence].",,,,,
1186,Allen was grounded for a month because of his [insolence].,insolence,Allen was grounded for a month because of his [insolence].,,,,,
1187,Bill and Sally were surprised and disappointed by the waiter's [insolence].,insolence,Bill and Sally were surprised and disappointed by the waiter's [insolence].,,,,,
1189,The judge threatened the lawyer's license due to his [insolence].,insolence,The judge threatened the lawyer's license due to his [insolence].,,,,,
1190,Let's try a new approach and not [adhere] to tradition.,adhere ,Let's try a new approach and not [adhere] to tradition.,,,,,
NA,"Some of the investors reversed their decision, but Jim [adheres] to his.",adhere ,"Some of the investors reversed their decision, but Jim [adheres] to his.",,,,,
1193,Jackie would prefer trying new methods than [adhering] to the old ones.,adhere ,Jackie would prefer trying new methods than [adhering] to the old ones.,,,,,
1197,We might be unprepared for change if we always [adhere] to the plan.,adhere ,We might be unprepared for change if we always [adhere] to the plan.,,,,,
1202,"Sometimes people can [adhere] to things, but sometimes they can't.",adhere ,"Sometimes people can [adhere] to things, but sometimes they can't.","Sometimes people can [attest] to certain things, but sometimes they can't.",1262,,,attest
1212,I can be a biased judge because I [adhere] to my original preferences.,adhere ,I can be a biased judge because I [adhere] to my original preferences.,,,,,
1214,"She is a very consistent person, [adhering] to a strict routine.",adhere ,"She is a very consistent person, [adhering] to a strict routine.",,,,,
1220,Early education can help children of immigrants better [assimilate] into society.,assimilate,Early education can help children of immigrants better XXXXX into society.,,,,,
1223,"Japan pushed Koreans to [assimilate], requiring them to speak Japanese and use Japanese names.",assimilate,"Japan pushed Koreans to [assimilate], requiring them to speak Japanese and use Japanese names.",,,,,
NA,John moved here from China and is still [assimilating] to American culture and customs.,assimilate,John moved here from China and is still [assimilating] to American culture and customs.,,,,,
1226,It is important to learn the language and customs of a region if you want to [assimilate].,assimilate,It is important to learn the language and customs of a region if you want to [assimilate].,,,,,
1240,"When you move to a different country, it can take some time to [assimilate].",assimilate,"When you move to a different country, it can take some time to [assimilate].",,,,,
1243,Immigrants may find it hard to [assimilate] when they don't feel welcome.,assimilate,Immigrants may find it hard to XXXXX when they don't feel welcome.,,,,,
NA,Our school works hard to  help new students [assimilate].,assimilate,Our school works hard to help new students [assimilate].,,,,,
1246,"Everyone wants to feel unique, but sometimes we feel pressured to [assimilate] into society.",assimilate,"Everyone wants to feel unique, but sometimes we feel pressured to XXXXX into society.",,,,,
1251,Four witnesses have [attested] to the fact that the murderer was tall.,attest ,Four witnesses have [attested] to the fact that the murderer was tall.,,,,,
1252,Professional athletes can [attest] to the fact that sports can be hard.,attest ,Professional athletes can [attest] to the fact that sports can be hard.,,,,,
3652,"I'm applying to college, so I need teachers to [attest] that I'm a good student.",attest ,"I'm applying to college, so I need teachers to [attest] that I'm a good student.","I'm apply to college, so I need teachers to [attest] that I'm a good student.",1253,,,attest
1255,"I've been shivering for days, so I can [attest] that the heater's broken.",attest ,"I've been shivering for days, so I can [attest] that the heater's broken.",,,,,
1260,Sal wonders what it would be like to [attest] to a certain thing.,attest ,Sal wonders what it would be like to [attest] to a certain thing.,,,,,
1271,My memory's so bad that I doubt I could [attest] to what happened.,attest ,My memory's so bad that I doubt I could [attest] to what happened.,,,,,
3653,My pilot friend [attested] that looking out the window gets boring after awhile.,attest ,My pilot friend [attested] that looking out the window gets boring after awhile.,My pilot friend [attested] that looking out the window get boring after awhile.,1272,,,attested
1273,"I thought chess was easy, but my experienced friend [attested] that it takes skill.",attest ,"I thought chess was easy, but my experienced friend [attested] that it takes skill.",,,,,
1274,"Because of the sharp pain, he can [attest] that he'd be injured.",attest ,"Because of the sharp pain, he can [attest] that he'd be injured.",,,,,
1280,My friend believes that crystal balls can [augur] the future. ,augur,My friend believes that crystal balls can XXXXX the future.,,,,,
1283,"The dark, cloudy sky [augured] some very heavy rainfall.",augur,"The dark, cloudy sky [augured] some very heavy rainfall.",,,,,
1284,"I'm not usually superstitious, but I believe that some events [augur] the future.",augur,"I'm not usually superstitious, but I believe that some events XXXXX the future.",,,,,
1287,Flowers blooming in winter can [augur] an early spring.,augur,Flowers blooming in winter can XXXXX an early spring.,,,,,
1291,I saw a show in which something was [augured].,augur,I saw a show in which something was [augured].,,,,,
1300,"We were told that these omens [augur] good news, but we can't be sure.",augur,"We were told that these omens XXXXX good news, but we can't be sure.",,,,,
1301,"I wish that the signs [augured] better news, but they don't.",augur,"I wish that the signs [augured] better news, but they don't.",,,,,
1304,I wish that the fortune-teller [augured] much better news.,augur,I wish that the fortune-teller [augured] much better news.,,,,,
1306,Everything seems to [augur] a future that is brighter than the past.,augur,Everything seems to XXXXX a future that is brighter than the past.,,,,,
1330,"Some companies care for workers, but other [avaricious] ones care only for cash.",avaricious,"Some companies care for workers, but other XXXXX ones care only for cash.",,,,,
1331,Rich people are sometimes tricked out of their money by [avaricious] swindlers.,avaricious,Rich people are sometimes tricked out of their money by XXXXX swindlers.,,,,,
1332,"Caring for money is one thing, but being [avaricious] goes too far.",avaricious,"Caring for money is one thing, but being XXXXX goes too far.",,,,,
1336,Some men joined the gold rush because they were [avaricious]. ,avaricious,Some men joined the gold rush because they were [avaricious].,,,,,
1342,"The liquid looks dangerous, but it's actually quite [benign].",benign,"The liquid looks dangerous, but it's actually quite [benign].",,,,,
1343,Ben felt safe around the dog because he knew the dog was [benign].,benign,Ben felt safe around the dog because he knew the dog was [benign].,,,,,
1344,I didn't think that something that looks so [benign] could be poisonous.,benign,I didn't think that something that looks so XXXXX could be poisonous.,,,,,
1345,"The snake looks venomous, but I know that she's actually [benign].",benign,"The snake looks venomous, but I know that she's actually [benign].",,,,,
1351,Sometimes I wonder how many things are [benign] in the world.,benign,Sometimes I wonder how many things are XXXXX in the world.,,,,,
1360,There are few things more [benign] than cute cat videos.,benign,There are few things more XXXXX than cute cat videos.,,,,,
1363,I told Chuck to not to worry over things that are [benign].,benign,I told Chuck to not to worry over things that are [benign].,,,,,
1372,The woman thought that his [brusque] response was a brush off.,brusque,The woman thought that his XXXXX response was a brush off.,,,,,
1382,"In the film, Alice played a character who was very [brusque].",brusque,"In the film, Alice played a character who was very [brusque].",,,"In the movie, Alice played a character who was very [avaricious].",1322,avaricious
1390,"Usually Jane is polite and patient, but today she is [brusque].",brusque,"Usually Jane is polite and patient, but today she is [brusque].",,,,,
1393,"Karen was late, so she gave only [brusque] responses on her way out.",brusque,"Karen was late, so she gave only XXXXX responses on her way out.",,,,,
1394,"When Lisa is in a hurry, she can come off as [brusque]. ",brusque,"When Lisa is in a hurry, she can come off as [brusque].",,,,,
1395,The interview was very quick because she gave [brusque] answers.,brusque,The interview was very quick because she gave XXXXX answers.,,,,,
1400,"Some people are easy to listen to, but his speeches are usually [caustic].",caustic,"Some people are easy to listen to, but his speeches are usually [caustic].",,,,,
1401,Bob replied to the nasty comment with an equally [caustic] come-back.,caustic,Bob replied to the nasty comment with an equally XXXXX come-back.,,,,,
1404,"My comments were polite and restrained, but hers were [caustic].",caustic,"My comments were polite and restrained, but hers were [caustic].",,,,,
1405,"The movie review was extremely [caustic], and even the star actor came off badly.",caustic,"The movie review was extremely [caustic], and even the star actor came off badly.",,,,,
1411,We were surprised to see how [caustic] it was.,caustic,We were surprised to see how XXXXX it was.,We were surprised to see how [dubious] it was.,1560,,,dubious
1420,"As Jane got more annoyed, her replies became more [caustic].",caustic,"As Jane got more annoyed, her replies became more [caustic].",,,,,
1421,What started off as a polite discussion became a [caustic] argument.,caustic,What started off as a polite discussion became a XXXXX argument.,,,,,
1422,It's possible to give honest feedback without being [caustic].,caustic,It's possible to give honest feedback without being [caustic].,,,,,
1425,"Though some people are sweet, others can be [caustic].",caustic,"Though some people are sweet, others can be [caustic].",,,,,
1430,The president has a lot of [clout] over national politics.,clout ,The president has a lot of [clout] over national politics.,,,,,
1431,I'm sure I can get you a raise because I have [clout].,clout ,I'm sure I can get you a raise because I have [clout].,,,,,
1434,She did not have the [clout] to greatly affect the company's choices.,clout ,She did not have the [clout] to greatly affect the company's choices.,,,She did not have the [clout] to override the boss's decision.,4719,clout
1435,"Only important politicians, business persons, and other people with [clout] are allowed inside.",clout ,"Only important politicians, business persons, and other people with [clout] are allowed inside.",,,,,
1444,Sometimes it is harder to find someone with [clout] than other times.,clout ,Sometimes it is harder to find someone with [clout] than other times.,Sometimes it is harder to find someone with [perks] than other times.,1832,,,perks
1450,"Surprisingly, the politician's husband had more [clout] than the politician.",clout ,"Surprisingly, the politician's husband had more [clout] than the politician.",,,,,
1451,I sometimes wish I had the [clout] to change things without the responsibility.,clout ,I sometimes wish I had the [clout] to change things without the responsibility.,,,,,
3660,"Although the bill was my idea, I needed the senator for her [clout].",clout ,"Although the bill was my idea, I needed the senator for her [clout].","Although the bill was my idea, I needed the Senator for her [clout].",1452,,,clout
1453,"To make a change, one needs not only dedication but also [clout].",clout ,"To make a change, one needs not only dedication but also [clout].",,,,,
1460,Tony tried to ignore the bully's loud and [derisive] wisecracks.,derisive,Tony tried to ignore the bully's loud and XXXXX wisecracks.,,,,,
1464,Diana was punished for her insulting and [derisive] tone.,derisive,Diana was punished for her insulting and XXXXX tone.,,,,,
1466,It is very unkind to mock someone with [derisive] laughter and insults.,derisive,It is very unkind to mock someone with XXXXX laughter and insults.,,,,,
1467,The girls drove the new student to tears with their [derisive] comments.,derisive,The girls drove the new student to tears with their XXXXX comments.,,,,,
1474,Sometimes it's hard to know whether they're [derisive] or not.,derisive,Sometimes it's hard to know whether they're XXXXX or not.,,,,,
1480,Kevin got angry when he heard the [derisive] laughter.,derisive,Kevin got angry when he heard the XXXXX laughter.,,,,,
1481,You should not make [derisive] comments to people you like.,derisive,You should not make XXXXX comments to people you like.,,,,,
1486,I cried after she made [derisive] comments about my outfit.,derisive,I cried after she made XXXXX comments about my outfit.,,,,,
1487,"I disagree with you, but I'd never say [derisive] things about you.",derisive,"I disagree with you, but I'd never say XXXXX things about you.",,,,,
3667,"With the storm approaching, the ship had to [deviate] from its course.",deviate,"With the storm approaching, the ship had to XXXXX from its course.","With the storm approaching, the ship had to deviate from its course.",1492,,,
1504,I wonder how many of them [deviate] from this.,deviate,I wonder how many of them XXXXX from this.,,,,,
1510,"He keeps to his ideas, never [deviating] from his beliefs.",deviate,"He keeps to his ideas, never [deviating] from his beliefs.",,,,,
3668,The basketball team won because they did not [deviate] from the game plan.,deviate,The basketball team won because they did not XXXXX from the game plan.,The basketball team won because they did not [deviate] from the game plan,1512,,,deviate
1515,"I tried to follow the instructions, but I kept [deviating] from them.",deviate,"I tried to follow the instructions, but I kept [deviating] from them.",,,,,
1517,The path was so hard to follow that they [deviated] from it twice.,deviate,The path was so hard to follow that they [deviated] from it twice.,,,,,
NA,The couple separated due to a [discord] in their relationship.,discord,The couple separated due to a XXXXX in their relationship.,,,,,
1522,"They were once friends, but now there seems to be [discord] between them.",discord,"They were once friends, but now there seems to be XXXXX between them.",,,,,
1523,Everyone noticed the [discord] between the couples filing for divorce.,discord,Everyone noticed the XXXXX between the couples filing for divorce.,,,,,
1525,The Democrats eagerly spread [discord] into the Republican ranks.,discord,The Democrats eagerly spread XXXXX into the Republican ranks.,,,,,
1530,I used to think sometimes about the causes of [discord].,discord,I used to think sometimes about the causes of [discord].,,,I sometimes think about the causes of [epiphanies].,1623,epiphanies
1540,Three people were killed after the [discord] within the mafia.,discord,Three people were killed after the XXXXX within the mafia.,,,,,
1542,We should try to be friends instead of continuing to have [discord].,discord,We should try to be friends instead of continuing to have [discord].,,,,,
1551,"Although he liked the plan, he thought its likelihood to succeed was [dubious].",dubious ,"Although he liked the plan, he thought its likelihood to succeed was [dubious].",,,,,
1553,Someone who always lies is likely to be a [dubious] source of information.,dubious ,Someone who always lies is likely to be a [dubious] source of information.,,,,,
1555,He says some of the company's claims are either [dubious] or outright false.,dubious ,He says some of the company's claims are either [dubious] or outright false.,,,,,
1556,Paul knew that the evidence for his case was [dubious] at best.,dubious ,Paul knew that the evidence for his case was [dubious] at best.,,,,,
1569,The store made the [dubious] claim that the shabby paintings were masterpieces.,dubious ,The store made the [dubious] claim that the shabby paintings were masterpieces.,,,,,
1570,"We should try to use reliable information, not [dubious] fantasies.",dubious ,"We should try to use reliable information, not [dubious] fantasies.",,,,,
1571,The most outrageous claims tend to be the most [dubious].,dubious ,The most outrageous claims tend to be the most [dubious].,,,,,
1575,One should always avoid [dubious] information in research papers.,dubious ,One should always avoid [dubious] information in research papers.,,,,,
1599,"Born into a lowly family, he rose to [eminence] with his great deeds.",eminence,"Born into a lowly family, he rose to XXXXX with his great deeds.",,,,,
1600,"The snob would not speak to common folk, but only people with [eminence].",eminence,"The snob would not speak to common folk, but only people with [eminence].",,,,,
1602,She has such [eminence] in business that everyone hears her opinions.,eminence,She has such XXXXX in business that everyone hears her opinions.,,,,,
1605,"He may look unimportant, but he has [eminence] in fashion.",eminence,"He may look unimportant, but he has XXXXX in fashion.",,,,,
1609,John had a sudden change of heart when he experienced an [epiphany].,epiphany,John had a sudden change of heart when he experienced an [epiphany].,,,,,
1612,New works of art are often inspired by a powerful [epiphany].,epiphany,New works of art are often inspired by a powerful [epiphany].,,,,,
1614,The politician understood how to fix the crisis after a sudden [epiphany].,epiphany,The politician understood how to fix the crisis after a sudden [epiphany].,,,,,
1616,"Sometimes ideas come slowly, but other times they come as an [epiphany].",epiphany,"Sometimes ideas come slowly, but other times they come as an [epiphany].",,,,,
1619,I believe that may have been an [epiphany].,epiphany,I believe that may have been an [epiphany].,,,,,
1630,I hope the solution to the problem comes to me in an [epiphany].,epiphany,I hope the solution to the problem comes to me in an [epiphany].,,,,,
1631,The chef had a sudden [epiphany] that the soup needed more salt.,epiphany,The chef had a sudden XXXXX that the soup needed more salt.,,,,,
1632,"As soon as he saw the boot print, the detective had an [epiphany].",epiphany,"As soon as he saw the boot print, the detective had an [epiphany].",,,,,
1633,"Being skilled at chess comes with hard work, not a sudden [epiphany].",epiphany,"Being skilled at chess comes with hard work, not a sudden [epiphany].",,,,,
1638,"The situation is already very bad, so please don't [exacerbate] it.",exacerbate ,"The situation is already very bad, so please don't [exacerbate] it.",,,,,
1640,"I know we are in danger, but panicking will only [exacerbate] the situation.",exacerbate ,"I know we are in danger, but panicking will only [exacerbate] the situation.",,,,,
1641,News of their strange death [exacerbated] the public's suspicion of foul play.,exacerbate ,News of their strange death [exacerbated] the public's suspicion of foul play.,,,,,
1642,The patient's bad health could have been [exacerbated] by bad eating habits.,exacerbate ,The patient's bad health could have been [exacerbated] by bad eating habits.,,,,,
1652,I wonder what sorts of things she had [exacerbated].,exacerbate ,I wonder what sorts of things she had [exacerbated].,,,,,
1658,"Even though they're liquids, some cleaners can [exacerbate] a fire.",exacerbate ,"Even though they're liquids, some cleaners can [exacerbate] a fire.",,,,,
1659,The war is likely going to [exacerbate] the country's hunger problems.,exacerbate ,The war is likely going to [exacerbate] the country's hunger problems.,,,,,
1669,"When my father is mad, we easily see his face [glowering].",glower ,"When my father is mad, we easily see his face [glowering].",,,,,
1670,"After the Steelers lost, a few fans left smiling, but most were [glowering].",glower ,"After the Steelers lost, a few fans left smiling, but most were [glowering].",,,,,
1673,They were all scared because the angry woman [glowered] at them.,glower ,They were all scared because the angry woman [glowered] at them.,,,,,
1675,The animal looks cute until she [glowers] angrily at us.,glower ,The animal looks cute until she [glowers] angrily at us.,,,,,
1678,I heard that certain people [glower] more than others.,glower ,I heard that certain people [glower] more than others.,,,I heard that certain people [wince] more than others.,4635,wince
1688,The cashier couldn't help [glowering] at the annoying customer.,glower ,The cashier couldn't help [glowering] at the annoying customer.,,,,,
1690,"Because the child was being very rude, his mother [glowered] at him.",glower ,"Because the child was being very rude, his mother [glowered] at him.",,,,,
1691,"After losing the game, we [glowered] angrily at our opponents.",glower ,"After losing the game, we [glowered] angrily at our opponents.",,,,,
1692,"When she caught the dog in the pantry, she [glowered] at him.",glower ,"When she caught the dog in the pantry, she [glowered] at him.",,,,,
1698,The criminal was sentenced to life in prison because of his [heinous] acts. ,heinous,The criminal was sentenced to life in prison because of his XXXXX acts.,,,,,
1700,The remorseful man asked the priest if such a [heinous] act could ever be forgiven.,heinous,The remorseful man asked the priest if such a XXXXX act could ever be forgiven.,,,,,
1702,The executioner committed some of the most [heinous] atrocities imaginable. ,heinous,The executioner committed some of the most XXXXX atrocities imaginable.,,,,,
1705,The guilty man's actions were so [heinous] not even his mother could love him. ,heinous,The guilty man's actions were so XXXXX not even his mother could love him.,,,,,
1708,The one that we saw on TV was much more [heinous].,heinous,The one that we saw on TV was much more [heinous].,,,,,
1718,A few good deeds does not make up for a truly [heinous] act.,heinous,A few good deeds does not make up for a truly XXXXX act.,,,,,
1721,"Lying is bad, but it is not exactly [heinous].",heinous,"Lying is bad, but it is not exactly [heinous].",,,,,
1728,"I forgot to feed my plant for weeks, so they began to [languish].",languish ,"I forgot to feed my plant for weeks, so they began to [languish].",,,,,
1732,My motivation to practice began to [languish] as I lost interest.,languish ,My motivation to practice began to [languish] as I lost interest.,,,,,
1733,"After weeks in a cast, the muscles in John's left arm had [languished].",languish ,"After weeks in a cast, the muscles in John's left arm had [languished].",,,,,
1734,Celebrities sometime act silly to stop their popularity from [languishing].,languish ,Celebrities sometime act silly to stop their popularity from [languishing].,,,,,
1748,"If you eat unhealthy food all the time, your body may [languish].",languish ,"If you eat unhealthy food all the time, your body may [languish].",,,,,
1751,"Rather than become stronger, I began to [languish] after the diet.",languish ,"Rather than become stronger, I began to [languish] after the diet.",,,,,
1753,"I used to be strong, but after many years I [languished].",languish ,"I used to be strong, but after many years I [languished].",,,,,
1755,"The bush used to be green and strong, but now it has [languished].",languish ,"The bush used to be green and strong, but now it has [languished].",,,,,
1758,The businessman persuaded us that the investment would be very [lucrative].,lucrative,The businessman persuaded us that the investment would be very [lucrative].,The businessman rejected the deal because it was unlikely to be [lucrative].,1766,,,lucrative
1768,The one that we heard about earlier is more [lucrative].,lucrative,The one that we heard about earlier is more [lucrative].,,,,,
1778,Bob no longer wishes to invest because the company isn't [lucrative] anymore.,lucrative,Bob no longer wishes to invest because the company isn't XXXXX anymore.,,,,,
1779,"John had envisioned some brilliant inventions, but nothing has proved to be [lucrative] yet.",lucrative,"John had envisioned some brilliant inventions, but nothing has proved to be XXXXX yet.",,,,,
1780,The merchant chose to open his shop on the [lucrative] side of town.,lucrative,The merchant chose to open his shop on the XXXXX side of town.,,,,,
1784,"After losing so much money, the farmer needed a [lucrative] harvest.",lucrative,"After losing so much money, the farmer needed a XXXXX harvest.",,,,,
1788,The old woman had a sense of [nostalgia] when she heard her mother's voice.,nostalgia ,The old woman had a sense of [nostalgia] when she heard her mother's voice.,,,,,
1789,The picture of my old house gave me feelings of [nostalgia].,nostalgia ,The picture of my old house gave me feelings of [nostalgia].,Seeing her childhood friend always brings back feelings of [nostalgia].,1808,,,nostalgia
4396,"When Chris saw his high school yearbook, he had a sudden feeling of [nostalgia].",nostalgia ,"When Chris saw his high school yearbook, he had a sudden feeling of [nostalgia].",When Chris saw his high school yearbook he had a sudden feeling of [nostalgia].,1790,,,nostalgia
1792,Songs from your childhood can make you feel [nostalgia] for the past.,nostalgia ,Songs from your childhood can make you feel [nostalgia] for the past.,,,,,
1798,In the paper the author talks about his [nostalgia].,nostalgia ,In the paper the author talks about his [nostalgia].,,,,,
1808,Seeing her childhood friend always brings back feelings of [nostalgia]. ,nostalgia ,Seeing her childhood friend always brings back feelings of [nostalgia].,Attending his high school reunion brought back feelings of [nostalgia].,1814,,,nostalgia
1812,Seeing the first car he ever bought brought up feelings of [nostalgia].,nostalgia ,Seeing the first car he ever bought brought up feelings of [nostalgia].,,,,,
1813,Looking through his old toys in the garage brought up feelings of [nostalgia].,nostalgia ,Looking through his old toys in the garage brought up feelings of [nostalgia].,Seeing her childhood friend always brings back feelings of [nostalgia].,1808,,,nostalgia
1814,Attending his high school reunion brought back feelings of [nostalgia].,nostalgia ,Attending his high school reunion brought back feelings of [nostalgia].,Seeing her childhood friend always brings back feelings of [nostalgia].,1808,,,nostalgia
1818,Having a big house is a [perk] of making lots of money.,perk,Having a big house is a XXXXX of making lots of money.,,,,,
1819,"I was friends with the boss, so I sometimes got extra [perks].",perk,"I was friends with the boss, so I sometimes got extra [perks].",,,,,
1820,Many jobs provide free childcare as a [perk].,perk,Many jobs provide free childcare as a [perk].,,,,,
1821,Bob's new job has the [perk] of being closer to his home.,perk,Bob's new job has the XXXXX of being closer to his home.,,,,,
1838,"After James became class president he received lots of [perks], including longer breaks. ",perk,"After James became class president he received lots of [perks], including longer breaks.",,,,,
1839,Getting good grades is one of the [perks] of taking easy classes.,perk,Getting good grades is one of the [perks] of taking easy classes.,,,,,
1844,One of the [perks] of going to college is help finding a job.,perk,One of the [perks] of going to college is help finding a job.,,,,,
1845,"Having rich friends can come with [perks], such as getting free meals.",perk,"Having rich friends can come with [perks], such as getting free meals.",,,,,
1849,"After the surfer wasn't allowed in the water, she was [perturbed].",perturbed,"After the surfer wasn't allowed in the water, she was [perturbed].",,,,,
1851,"When I made a joke about being old, my grandmother seemed very [perturbed].",perturbed,"When I made a joke about being old, my grandmother seemed very [perturbed].",,,,,
1853,"The dog ate John's favorite shoes, so he spent the evening feeling [perturbed].",perturbed,"The dog ate John's favorite shoes, so he spent the evening feeling [perturbed].",,,,,
1854,"While Allen was playing with his loudest toy, his babysitter became [perturbed].",perturbed,"While Allen was playing with his loudest toy, his babysitter became [perturbed].",,,,,
1862,Certain members of the group were [perturbed].,perturbed,Certain members of the group were [perturbed].,Certain members of the group [glowered] more than others.,1687,,,glowered
1869,The losing team felt [perturbed] by the other team's cheating.,perturbed,The losing team felt XXXXX by the other team's cheating.,,,,,
1871,The employee was [perturbed] after talking to her rude boss.,perturbed,The employee was XXXXX after talking to her rude boss.,,,,,
1878,Kings who live in luxury care little about the [plight] of peasants.,plight,Kings who live in luxury care little about the XXXXX of peasants.,,,,,
1879,"I wish to end their [plight], but I don't know how to help.",plight,"I wish to end their [plight], but I don't know how to help.",,,,,
1881,I think that people in good situations should care about others' [plights].,plight,I think that people in good situations should care about others' [plights].,,,,,
1882,Billy's lucky situation was so different from Jackie's [plight].,plight,Billy's lucky situation was so different from Jackie's [plight].,,,,,
1908,The land was flat except for a single [protrusion].,protrusion,The land was flat except for a single [protrusion].,,,,,
1909,"I thought the sidewalk was flat, but then I tripped over the [protrusion].",protrusion,"I thought the sidewalk was flat, but then I tripped over the [protrusion].",,,,,
1911,The doctor noticed a boney [protrusion] and realized her arm was broken.,protrusion,The doctor noticed a boney XXXXX and realized her arm was broken.,,,,,
1912,The roof that used to be flat now has too many [protrusions].,protrusion,The roof that used to be flat now has too many [protrusions].,,,,,
1918,"Three days ago, I overheard a discussion on [protrusions].",protrusion,"Three days ago, I overheard a discussion on [protrusions].","Three days ago, I overheard a discussion on [turmoil].",1980,,,turmoil
1929,"I often walk barefoot, so I must watch out for [protrusions].",protrusion,"I often walk barefoot, so I must watch out for [protrusions].",,,,,
1931,I couldn't sleep because the [protrusions] in my bed hurt my back.,protrusion,I couldn't sleep because the [protrusions] in my bed hurt my back.,,,,,
1938,"Until there's evidence to the contrary, the author's conclusion is the most [tenable].",tenable,"Until there's evidence to the contrary, the author's conclusion is the most [tenable].",,,,,
1940,"The plan used to work, but now I don't think it's [tenable].",tenable,"The plan used to work, but now I don't think it's [tenable].",,,,,
