ANONID,DEPT,HSGPA
53038,Psychology Department,3.8
53039,Psychology Department,3.8
53057,Psychology Department,3.3
53117,Psychology Department,4
53149,Psychology Department,3.2
53165,Psychology Department,3.5
53170,Psychology Department,3.4
53181,Psychology Department,3.1
53190,Psychology Department,4
53219,Psychology Department,3.9
53235,Psychology Department,4
53252,Psychology Department,4
53263,Psychology Department,3.3
53301,Psychology Department,3.5
53322,Psychology Department,NA
53333,Psychology Department,3.65
53336,Psychology Department,3.7
53362,Psychology Department,3.6
53377,Psychology Department,4
53379,Psychology Department,2.7
53387,Psychology Department,3.1
53392,Psychology Department,3.5
53397,Psychology Department,3.6
53402,Psychology Department,3.4
53407,Psychology Department,3.6
53433,Psychology Department,3.87
53445,Psychology Department,0
53461,Psychology Department,3.97
53486,Psychology Department,0
53499,Psychology Department,4
53503,Psychology Department,3.5
53510,Psychology Department,0
53529,Psychology Department,3.7
53572,Psychology Department,3.8
53593,Psychology Department,3.7
53595,Psychology Department,3.7
53729,Psychology Department,3.7
53847,Psychology Department,3.5
53849,Psychology Department,3.3
53855,Psychology Department,4
53867,Psychology Department,3.8
53882,Psychology Department,3.6
53883,Psychology Department,3.9
53884,Psychology Department,3.9
53902,Psychology Department,3.5
53941,Psychology Department,4
53983,Psychology Department,1.9
53991,Psychology Department,4
54055,Psychology Department,3.8
54112,Psychology Department,4
54135,Psychology Department,NA
54154,Psychology Department,3.5
54163,Psychology Department,3.3
54193,Psychology Department,3.8
54235,Psychology Department,3.8
54259,Psychology Department,0
54287,Psychology Department,NA
54289,Psychology Department,3.6
54314,Psychology Department,3.3
54323,Psychology Department,NA
54326,Psychology Department,4
54331,Psychology Department,4
54344,Psychology Department,4
54359,Psychology Department,0
54402,Psychology Department,4
54441,Psychology Department,3.8
54461,Psychology Department,3.4
54488,Psychology Department,3.9
54513,Psychology Department,0
54526,Psychology Department,0
54548,Psychology Department,3.6
54616,Psychology Department,4
54625,Psychology Department,3.9
54631,Psychology Department,3.7
54670,Psychology Department,3.6
54677,Psychology Department,3.9
54693,Psychology Department,4
54706,Psychology Department,3.8
54745,Psychology Department,NA
54791,Psychology Department,3.89
54795,Psychology Department,NA
54805,Psychology Department,3.7
54810,Psychology Department,4
54814,Psychology Department,3.9
54818,Psychology Department,3.4
54823,Psychology Department,4
54880,Psychology Department,4
54887,Psychology Department,3.6
54925,Psychology Department,3.8
54987,Psychology Department,3.8
55010,Psychology Department,0
55032,Psychology Department,3.6
55050,Psychology Department,3.8
55112,Psychology Department,3.8
55131,Psychology Department,3.7
55144,Psychology Department,3.8
55157,Psychology Department,4
55184,Psychology Department,3.9
55197,Psychology Department,3.7
55240,Psychology Department,3
55243,Psychology Department,4
55245,Psychology Department,3.3
55288,Psychology Department,3
55295,Psychology Department,3.3
55299,Psychology Department,0
55381,Psychology Department,4
55387,Psychology Department,3.9
55415,Psychology Department,0
55455,Psychology Department,3.9
55500,Psychology Department,3.9
55507,Psychology Department,3.7
55528,Psychology Department,2.7
55530,Psychology Department,3.8
55555,Psychology Department,3.7
55564,Psychology Department,NA
55566,Psychology Department,3.3
55587,Psychology Department,3.7
55633,Psychology Department,NA
55639,Psychology Department,4
55646,Psychology Department,3.9
55718,Psychology Department,NA
55777,Psychology Department,0
55780,Psychology Department,3.7
55786,Psychology Department,4
55795,Psychology Department,4
55820,Psychology Department,0
55851,Psychology Department,3.8
55859,Psychology Department,3.5
55866,Psychology Department,3.2
55896,Psychology Department,3.3
55904,Psychology Department,3.7
55921,Psychology Department,4
55923,Psychology Department,2.4
55928,Psychology Department,0
55962,Psychology Department,3.6
55979,Psychology Department,3.8
56026,Psychology Department,3.1
56052,Psychology Department,3.8
56057,Psychology Department,3.4
56067,Psychology Department,NA
56068,Psychology Department,3.64
56113,Psychology Department,3.9
56134,Psychology Department,3.7
56140,Psychology Department,3.8
56147,Psychology Department,3.8
56183,Psychology Department,NA
56220,Psychology Department,3.9
56225,Psychology Department,3.73
56258,Psychology Department,3.9
56271,Psychology Department,3.7
56287,Psychology Department,3.5
56322,Psychology Department,4
56354,Psychology Department,3.6
56368,Psychology Department,0
56397,Psychology Department,3.76
56480,Psychology Department,3.4
56540,Psychology Department,3.9
56546,Psychology Department,3.9
56554,Psychology Department,4
56752,Psychology Department,3.6
56757,Psychology Department,3.9
56779,Psychology Department,NA
56805,Psychology Department,3.9
56822,Psychology Department,3.5
56854,Psychology Department,2.8
56919,Psychology Department,3.9
56967,Psychology Department,3.8
56970,Psychology Department,3.9
56971,Psychology Department,3.9
57002,Psychology Department,3.9
57094,Psychology Department,3.8
57119,Psychology Department,3.4
57179,Psychology Department,3.7
57189,Psychology Department,3.7
57205,Psychology Department,0
57209,Psychology Department,3.7
57216,Psychology Department,3.85
57237,Psychology Department,3.9
57247,Psychology Department,1.7
57319,Psychology Department,3.9
57366,Psychology Department,3.9
57392,Psychology Department,3.7
57410,Psychology Department,0
57422,Psychology Department,4
57439,Psychology Department,3.6
57443,Psychology Department,3.6
57459,Psychology Department,0
57470,Psychology Department,3.9
57478,Psychology Department,0
57545,Psychology Department,0
57549,Psychology Department,3.8
57561,Psychology Department,3.7
57565,Psychology Department,3.7
57566,Psychology Department,NA
57584,Psychology Department,4
57630,Psychology Department,3.8
57643,Psychology Department,3.1
57657,Psychology Department,NA
57670,Psychology Department,3.7
57707,Psychology Department,3.4
57710,Psychology Department,3.9
57713,Psychology Department,3.5
57768,Psychology Department,3.7
57787,Psychology Department,3.9
57793,Psychology Department,4
57819,Psychology Department,3.6
57829,Psychology Department,4
57855,Psychology Department,3.7
57871,Psychology Department,3.6
57925,Psychology Department,3.8
57928,Psychology Department,3.9
58019,Psychology Department,3.7
58052,Psychology Department,3.9
58092,Psychology Department,4
58100,Psychology Department,2.8
58121,Psychology Department,0
58129,Psychology Department,3.8
58133,Psychology Department,3.5
58137,Psychology Department,3.8
58146,Psychology Department,3.9
58220,Psychology Department,3.8
58233,Psychology Department,3.8
58271,Psychology Department,3.6
58276,Psychology Department,0
58327,Psychology Department,3.6
58349,Psychology Department,3.6
58511,Psychology Department,NA
58514,Psychology Department,NA
58541,Psychology Department,4
58572,Psychology Department,3.8
58573,Psychology Department,4
58628,Psychology Department,3.8
58631,Psychology Department,3.2
58652,Psychology Department,4
58732,Psychology Department,3.5
58745,Psychology Department,0
58758,Psychology Department,3.4
58766,Psychology Department,3.6
58771,Psychology Department,0
58788,Psychology Department,3.8
58907,Psychology Department,3.9
58956,Psychology Department,3.1
59002,Psychology Department,4
59032,Psychology Department,3.9
59034,Psychology Department,3
59035,Psychology Department,3.6
59036,Psychology Department,3.4
59066,Psychology Department,3.7
59134,Psychology Department,3.3
59145,Psychology Department,3.6
59173,Psychology Department,3.7
59190,Psychology Department,3.7
59199,Psychology Department,4
59216,Psychology Department,2.9
59223,Psychology Department,0
59265,Psychology Department,0
59281,Psychology Department,3.9
59285,Psychology Department,3.2
59307,Psychology Department,3.8
59312,Psychology Department,NA
59329,Psychology Department,3.7
59355,Psychology Department,3.9
59356,Psychology Department,3.8
59368,Psychology Department,0
59398,Psychology Department,3.8
59424,Psychology Department,0
59437,Psychology Department,3.8
59458,Psychology Department,3.9
59486,Psychology Department,3.8
59496,Psychology Department,3.2
59498,Psychology Department,3.6
59530,Psychology Department,3.7
59538,Psychology Department,3.1
59547,Psychology Department,4
59584,Psychology Department,NA
59596,Psychology Department,3.9
59602,Psychology Department,3.6
59611,Psychology Department,3.9
59632,Psychology Department,NA
59637,Psychology Department,3.6
59640,Psychology Department,4
59647,Psychology Department,3.6
59703,Psychology Department,3.5
59704,Psychology Department,3.9
59706,Psychology Department,4
59713,Psychology Department,0
59803,Psychology Department,NA
59817,Psychology Department,4
59818,Psychology Department,3.5
59831,Psychology Department,3.6
59850,Psychology Department,3.7
59854,Psychology Department,4
59855,Psychology Department,3.4
59868,Psychology Department,3.9
59872,Psychology Department,3.8
59879,Psychology Department,4
59880,Psychology Department,0
59890,Psychology Department,NA
59906,Psychology Department,NA
59916,Psychology Department,3.61
59955,Psychology Department,3.7
59967,Psychology Department,3.9
59988,Psychology Department,4
59990,Psychology Department,3.7
59993,Psychology Department,3.7
60015,Psychology Department,3.6
60026,Psychology Department,4
60027,Psychology Department,3.8
60071,Psychology Department,3.9
60086,Psychology Department,0
60093,Psychology Department,3.7
60170,Psychology Department,3
60208,Psychology Department,3.9
60231,Psychology Department,3.6
60233,Psychology Department,3.9
60246,Psychology Department,3.9
60256,Psychology Department,0
60263,Psychology Department,3.9
60296,Psychology Department,3.9
60345,Psychology Department,1.8
60352,Psychology Department,1.8
60401,Psychology Department,2.7
60430,Psychology Department,3.7
60461,Psychology Department,4
60479,Psychology Department,3.9
60496,Psychology Department,2.9
60540,Psychology Department,4
60543,Psychology Department,3.4
60555,Psychology Department,3.9
60561,Psychology Department,NA
60570,Psychology Department,0
60579,Psychology Department,4
60594,Psychology Department,4
60596,Psychology Department,3.7
60597,Psychology Department,NA
60601,Psychology Department,3.1
60611,Psychology Department,3.5
60630,Psychology Department,0
60633,Psychology Department,2.6
60647,Psychology Department,NA
60649,Psychology Department,0
60655,Psychology Department,3.7
60658,Psychology Department,0
60659,Psychology Department,3.5
60668,Psychology Department,3.9
60673,Psychology Department,3.8
60690,Psychology Department,0
60702,Psychology Department,3.9
60759,Psychology Department,NA
60765,Psychology Department,4
60787,Psychology Department,3.5
60824,Psychology Department,NA
60826,Psychology Department,3.6
60860,Psychology Department,2.4
60879,Psychology Department,3.9
60892,Psychology Department,3.8
60898,Psychology Department,3.62
60929,Psychology Department,3.5
60977,Psychology Department,3.8
60980,Psychology Department,4
61064,Psychology Department,3.5
61070,Psychology Department,3.6
61088,Psychology Department,3.6
61098,Psychology Department,3.3
61113,Psychology Department,4
61130,Psychology Department,3.7
61146,Psychology Department,0
61169,Psychology Department,3.5
61188,Psychology Department,3.8
61202,Psychology Department,3
61209,Psychology Department,0
61244,Psychology Department,3.9
61256,Psychology Department,3.9
61290,Psychology Department,4
61328,Psychology Department,0
61392,Psychology Department,3.1
61409,Psychology Department,3.6
61417,Psychology Department,3.4
61473,Psychology Department,4
61516,Psychology Department,3.8
61550,Psychology Department,4
61570,Psychology Department,3.6
61588,Psychology Department,3.8
61621,Psychology Department,3.5
61690,Psychology Department,3.9
61691,Psychology Department,0
61723,Psychology Department,3.6
61748,Psychology Department,0
61809,Psychology Department,4
61821,Psychology Department,3.8
61823,Psychology Department,3.8
61858,Psychology Department,3.5
61890,Psychology Department,0
61893,Psychology Department,3.2
61898,Psychology Department,3.8
61937,Psychology Department,NA
61942,Psychology Department,3.3
62003,Psychology Department,NA
62023,Psychology Department,0
62026,Psychology Department,4
62061,Psychology Department,3
62067,Psychology Department,4
62099,Psychology Department,0
62169,Psychology Department,3.5
62177,Psychology Department,3.9
NA,Psychology Department,3.5
62201,Psychology Department,3.9
62207,Psychology Department,0
62236,Psychology Department,3.9
62244,Psychology Department,NA
62251,Psychology Department,4
62275,Psychology Department,3.5
62279,Psychology Department,3.8
62296,Psychology Department,4
62307,Psychology Department,3.7
62352,Psychology Department,0
62386,Psychology Department,4
62443,Psychology Department,NA
62477,Psychology Department,NA
62484,Psychology Department,0
62520,Psychology Department,4
62537,Psychology Department,3.4
62556,Psychology Department,4
62563,Psychology Department,0
62564,Psychology Department,4
62583,Psychology Department,3.4
62601,Psychology Department,NA
62634,Psychology Department,3.9
62635,Psychology Department,3.5
62646,Psychology Department,3.7
62666,Psychology Department,3.7
62677,Psychology Department,3.8
62694,Psychology Department,3.2
62746,Psychology Department,4
62792,Psychology Department,3.7
62793,Psychology Department,3.8
62839,Psychology Department,3.4
62855,Psychology Department,0
62869,Psychology Department,3.8
62882,Psychology Department,3.2
62911,Psychology Department,3.7
62916,Psychology Department,3.69
62959,Psychology Department,3.6
62965,Psychology Department,3.8
62982,Psychology Department,3.9
63014,Psychology Department,3.8
63033,Psychology Department,3.9
63058,Psychology Department,0
63065,Psychology Department,3.5
63071,Psychology Department,NA
63126,Psychology Department,3.1
63150,Psychology Department,3.7
63151,Psychology Department,3.9
63189,Psychology Department,3.9
63213,Psychology Department,3.7
63246,Psychology Department,3.3
63254,Psychology Department,3.6
63255,Psychology Department,0
63326,Psychology Department,3.7
63374,Psychology Department,3
63394,Psychology Department,3.9
63405,Psychology Department,4
63447,Psychology Department,3.7
63449,Psychology Department,3.9
63510,Psychology Department,3.5
63528,Psychology Department,3.8
63531,Psychology Department,0
63576,Psychology Department,3.9
63600,Psychology Department,NA
63633,Psychology Department,3.5
63660,Psychology Department,3.6
63706,Psychology Department,3.9
63739,Psychology Department,NA
63748,Psychology Department,3.8
63765,Psychology Department,3.6
63794,Psychology Department,3.8
63810,Psychology Department,0
63824,Psychology Department,2.9
63835,Psychology Department,4
63893,Psychology Department,3.7
63909,Psychology Department,3.9
63936,Psychology Department,3.4
63973,Psychology Department,3.7
64030,Psychology Department,3.9
64032,Psychology Department,3.5
64056,Psychology Department,3.2
64075,Psychology Department,3.8
64097,Psychology Department,0
64118,Psychology Department,3.7
64130,Psychology Department,3.4
64134,Psychology Department,3.2
64164,Psychology Department,0
64173,Psychology Department,3.8
64174,Psychology Department,3.9
64187,Psychology Department,3.8
64217,Psychology Department,3.4
64225,Psychology Department,3.9
64230,Psychology Department,NA
64236,Psychology Department,3.6
64279,Psychology Department,4
64286,Psychology Department,3.5
64331,Psychology Department,3.4
64356,Psychology Department,0
64365,Psychology Department,4
64437,Psychology Department,NA
64477,Psychology Department,NA
64480,Psychology Department,0
64595,Psychology Department,3.3
64599,Psychology Department,4
64606,Psychology Department,4
64614,Psychology Department,3.7
64642,Psychology Department,3.6
64677,Psychology Department,4
64681,Psychology Department,3.9
64686,Psychology Department,0
64766,Psychology Department,3.5
64800,Psychology Department,3.8
64817,Psychology Department,3.3
64845,Psychology Department,3.9
64872,Psychology Department,3.7
64910,Psychology Department,3.3
64919,Psychology Department,3.8
65041,Psychology Department,NA
65133,Psychology Department,4
65145,Psychology Department,3.8
65196,Psychology Department,3.5
65215,Psychology Department,3.2
65233,Psychology Department,4
65234,Psychology Department,3.2
65284,Psychology Department,3.4
65305,Psychology Department,3.9
65321,Psychology Department,3.7
65326,Psychology Department,3
65342,Psychology Department,0
65351,Psychology Department,3.7
65355,Psychology Department,3.2
65361,Psychology Department,4
NA,Psychology Department,3.8
65411,Psychology Department,3.4
65450,Psychology Department,3.5
65451,Psychology Department,4
65464,Psychology Department,3.8
65466,Psychology Department,NA
65470,Psychology Department,3.8
65472,Psychology Department,4
65478,Psychology Department,4
65515,Psychology Department,3.7
65527,Psychology Department,3
65537,Psychology Department,3.9
65538,Psychology Department,3.9
65542,Psychology Department,3.6
65553,Psychology Department,3.8
65561,Psychology Department,0
65567,Psychology Department,3.4
65633,Psychology Department,NA
65636,Psychology Department,3.9
65652,Psychology Department,3.8
65685,Psychology Department,3.1
65696,Psychology Department,3.4
65727,Psychology Department,3.7
65756,Psychology Department,3.9
65795,Psychology Department,3.9
65815,Psychology Department,3.9
65828,Psychology Department,3
65833,Psychology Department,3.1
65843,Psychology Department,3.6
65909,Psychology Department,3.8
65956,Psychology Department,3.9
65961,Psychology Department,4
65965,Psychology Department,4
66034,Psychology Department,NA
66041,Psychology Department,NA
66071,Psychology Department,4
66081,Psychology Department,3.4
66086,Psychology Department,3.7
66168,Psychology Department,3.11
66213,Psychology Department,3.8
66279,Psychology Department,NA
66297,Psychology Department,3.7
66337,Psychology Department,3.9
66339,Psychology Department,3.8
66355,Psychology Department,4
66378,Psychology Department,0
66394,Psychology Department,4
66444,Psychology Department,2.7
66446,Psychology Department,NA
66488,Psychology Department,3.8
66497,Psychology Department,3.9
66533,Psychology Department,3.3
66544,Psychology Department,3.6
66545,Psychology Department,3.9
66560,Psychology Department,NA
66574,Psychology Department,4
66618,Psychology Department,3.7
66639,Psychology Department,4
66653,Psychology Department,0
66656,Psychology Department,3.5
66708,Psychology Department,3.1
66749,Psychology Department,3.7
66754,Psychology Department,NA
66756,Psychology Department,0
66771,Psychology Department,4
66774,Psychology Department,0
66786,Psychology Department,3.9
66828,Psychology Department,3.8
NA,Psychology Department,4
66862,Psychology Department,0
66870,Psychology Department,2.9
66883,Psychology Department,3.9
66884,Psychology Department,3.9
66913,Psychology Department,3.5
66938,Psychology Department,3.2
66941,Psychology Department,3.8
66962,Psychology Department,3.9
66976,Psychology Department,3.7
66981,Psychology Department,3.6
67002,Psychology Department,3.9
67033,Psychology Department,3.7
67044,Psychology Department,3.9
67076,Psychology Department,3.8
67078,Psychology Department,4
67081,Psychology Department,3.8
67168,Psychology Department,3.1
67173,Psychology Department,3.5
67183,Psychology Department,0
67190,Psychology Department,3.8
67208,Psychology Department,0
67225,Psychology Department,3.5
67241,Psychology Department,3.7
67249,Psychology Department,3.9
67250,Psychology Department,3.7
67277,Psychology Department,NA
67303,Psychology Department,3.9
67346,Psychology Department,0
67367,Psychology Department,3.9
67377,Psychology Department,3.8
67381,Psychology Department,0
67404,Psychology Department,3.9
67410,Psychology Department,0
67415,Psychology Department,3.8
67417,Psychology Department,3.7
67443,Psychology Department,3.8
67450,Psychology Department,NA
67497,Psychology Department,3.8
67498,Psychology Department,4
67513,Psychology Department,3.5
67550,Psychology Department,3.54
67566,Psychology Department,3.2
67570,Psychology Department,3.8
67598,Psychology Department,0
67605,Psychology Department,0
67632,Psychology Department,4
67633,Psychology Department,0
67678,Psychology Department,3.6
67685,Psychology Department,0
67707,Psychology Department,NA
67723,Psychology Department,3.9
67729,Psychology Department,3.6
67758,Psychology Department,NA
67778,Psychology Department,3.7
67779,Psychology Department,3.8
67793,Psychology Department,NA
67804,Psychology Department,NA
67811,Psychology Department,3.7
67817,Psychology Department,0
67825,Psychology Department,NA
67839,Psychology Department,3.8
67849,Psychology Department,0
67853,Psychology Department,3.9
67875,Psychology Department,3.6
67918,Psychology Department,3.9
68062,Psychology Department,3.6
68076,Psychology Department,NA
68079,Psychology Department,3.7
68083,Psychology Department,3.3
68092,Psychology Department,0
68095,Psychology Department,3.5
68109,Psychology Department,3.3
68123,Psychology Department,3.9
68140,Psychology Department,3.8
68145,Psychology Department,3.7
68157,Psychology Department,4
68159,Psychology Department,NA
68242,Psychology Department,3.8
68244,Psychology Department,4
68320,Psychology Department,NA
68323,Psychology Department,NA
68347,Psychology Department,3.9
68364,Psychology Department,3.4
68381,Psychology Department,4
68383,Psychology Department,0
68439,Psychology Department,3.8
68496,Psychology Department,3.6
68524,Psychology Department,3.84
68530,Psychology Department,0
68550,Psychology Department,3.7
68568,Psychology Department,4
68588,Psychology Department,3.9
68596,Psychology Department,3.9
68621,Psychology Department,NA
68631,Psychology Department,3.7
68666,Psychology Department,3.6
68677,Psychology Department,3.9
68716,Psychology Department,3.8
68730,Psychology Department,3.9
68797,Psychology Department,3.7
68808,Psychology Department,0
68815,Psychology Department,3.7
68831,Psychology Department,3.8
68838,Psychology Department,3.7
68843,Psychology Department,0
68866,Psychology Department,3.9
68899,Psychology Department,0
68928,Psychology Department,4
69012,Psychology Department,4
69032,Psychology Department,3.8
69059,Psychology Department,3.9
69097,Psychology Department,3.1
69140,Psychology Department,4
69201,Psychology Department,0
69218,Psychology Department,3.9
69244,Psychology Department,NA
69268,Psychology Department,0
69274,Psychology Department,3.6
69305,Psychology Department,NA
69375,Psychology Department,2.7
69402,Psychology Department,3.5
69408,Psychology Department,3.9
69424,Psychology Department,0
69430,Psychology Department,3.6
69450,Psychology Department,0
69454,Psychology Department,3.6
69467,Psychology Department,NA
69470,Psychology Department,3.9
69477,Psychology Department,4
69509,Psychology Department,0
69526,Psychology Department,3.8
69591,Psychology Department,3.8
69616,Psychology Department,3.8
69648,Psychology Department,3.6
69655,Psychology Department,NA
69660,Psychology Department,3.8
69671,Psychology Department,3.9
69710,Psychology Department,3.6
69714,Psychology Department,3.9
69720,Psychology Department,3.1
69794,Psychology Department,3.8
69807,Psychology Department,4
69858,Psychology Department,3.9
70026,Psychology Department,3.2
70078,Psychology Department,3.4
70086,Psychology Department,3.2
70100,Psychology Department,4
70108,Psychology Department,3.5
70119,Psychology Department,0
70162,Psychology Department,3.9
70167,Psychology Department,0
70182,Psychology Department,3.8
70217,Psychology Department,3.9
70259,Psychology Department,3.6
70278,Psychology Department,3.7
70291,Psychology Department,3.6
NA,Psychology Department,3.3
70391,Psychology Department,3.8
70407,Psychology Department,0
70437,Psychology Department,3.7
70518,Psychology Department,0
70546,Psychology Department,3.4
70574,Psychology Department,3.7
70608,Psychology Department,3.9
70612,Psychology Department,3.9
70647,Psychology Department,3.8
70679,Psychology Department,4
70706,Psychology Department,0
70724,Psychology Department,3.3
70755,Psychology Department,3.9
70768,Psychology Department,0
70782,Psychology Department,NA
70847,Psychology Department,NA
70876,Psychology Department,0
70880,Psychology Department,3.8
70883,Psychology Department,3.74
70904,Psychology Department,3.7
70946,Psychology Department,3.3
71031,Psychology Department,3.6
71039,Psychology Department,3.6
71050,Psychology Department,0
71071,Psychology Department,3.5
71073,Psychology Department,3
71078,Psychology Department,3.8
71134,Psychology Department,3.6
71135,Psychology Department,3.8
71150,Psychology Department,4
71157,Psychology Department,4
71195,Psychology Department,3.4
71198,Psychology Department,3.3
71202,Psychology Department,3.9
71232,Psychology Department,3.9
71252,Psychology Department,4
71253,Psychology Department,3.5
71265,Psychology Department,2.8
71307,Psychology Department,3.8
71325,Psychology Department,3.6
71334,Psychology Department,3.5
71384,Psychology Department,3.9
71442,Psychology Department,3.5
71448,Psychology Department,3.5
71450,Psychology Department,3.3
71456,Psychology Department,0
71489,Psychology Department,NA
71503,Psychology Department,3.8
71512,Psychology Department,4
71541,Psychology Department,2.8
71576,Psychology Department,3.8
71585,Psychology Department,3.5
71595,Psychology Department,0
71608,Psychology Department,3.9
71626,Psychology Department,3.74
71627,Psychology Department,NA
71628,Psychology Department,3.7
71790,Psychology Department,3.7
71796,Psychology Department,3.7
71818,Psychology Department,4
71874,Psychology Department,4
71876,Psychology Department,NA
71903,Psychology Department,3.7
71933,Psychology Department,4
71942,Psychology Department,0
71947,Psychology Department,3.8
71974,Psychology Department,3.3
71980,Psychology Department,4
71994,Psychology Department,3.6
72023,Psychology Department,3.6
72037,Psychology Department,3.9
72162,Psychology Department,NA
72179,Psychology Department,3.7
72210,Psychology Department,3.2
72240,Psychology Department,4
72287,Psychology Department,3.9
" and Developmental Biology""",Psychology Department,3.9
72370,Psychology Department,3.7
72387,Psychology Department,3.7
72397,Psychology Department,3.9
72402,Psychology Department,3.8
72440,Psychology Department,2.9
72448,Psychology Department,3.7
72499,Psychology Department,3.6
72508,Psychology Department,0
72525,Psychology Department,3.1
72600,Psychology Department,NA
72612,Psychology Department,3.9
72616,Psychology Department,3.9
72619,Psychology Department,NA
72624,Psychology Department,3.9
72634,Psychology Department,3.7
72655,Psychology Department,3.7
72680,Psychology Department,4
72700,Psychology Department,3.7
72720,Psychology Department,0
72737,Psychology Department,3.9
72739,Psychology Department,NA
72761,Psychology Department,0
72762,Psychology Department,NA
72789,Psychology Department,3.7
72818,Psychology Department,3.6
72882,Psychology Department,3.9
72928,Psychology Department,2.8
72931,Psychology Department,0
72963,Psychology Department,3.9
72989,Psychology Department,2.7
73010,Psychology Department,3.6
73016,Psychology Department,3.6
73035,Psychology Department,3.7
73048,Psychology Department,3.3
73051,Psychology Department,3.9
73084,Psychology Department,4
73119,Psychology Department,NA
73133,Psychology Department,4
73137,Psychology Department,0
73162,Psychology Department,3.8
73175,Psychology Department,3.9
NA,Psychology Department,3.6
73195,Psychology Department,0
73200,Psychology Department,NA
73234,Psychology Department,0
73278,Psychology Department,3.6
73287,Psychology Department,3.9
73304,Psychology Department,0
73338,Psychology Department,3.6
73371,Psychology Department,3.8
73398,Psychology Department,3.67
73498,Psychology Department,0
73527,Psychology Department,3.4
73549,Psychology Department,4
73590,Psychology Department,NA
73619,Psychology Department,3.6
73644,Psychology Department,1.8
73657,Psychology Department,0
73665,Psychology Department,3.94
73679,Psychology Department,3.9
73687,Psychology Department,3.9
73710,Psychology Department,4
73767,Psychology Department,3.8
73795,Psychology Department,0
73987,Psychology Department,3.6
73999,Psychology Department,3.9
74005,Psychology Department,0
74027,Psychology Department,3.6
74200,Psychology Department,3.3
74251,Psychology Department,3.9
74277,Psychology Department,3.5
" and the Arts""",Psychology Department,3.7
74344,Psychology Department,NA
74399,Psychology Department,3.8
74430,Psychology Department,0
74456,Psychology Department,3.9
74467,Psychology Department,3.7
74475,Psychology Department,3.9
74484,Psychology Department,3.6
74492,Psychology Department,3.6
74495,Psychology Department,3.7
74559,Psychology Department,4
74587,Psychology Department,NA
74608,Psychology Department,4
74614,Psychology Department,3.7
74630,Psychology Department,3.7
74636,Psychology Department,3.7
74675,Psychology Department,3.8
74712,Psychology Department,0
74713,Psychology Department,0
74753,Psychology Department,3.5
74756,Psychology Department,4
74766,Psychology Department,0
74778,Psychology Department,NA
74781,Psychology Department,NA
74804,Psychology Department,0
74812,Psychology Department,3.8
74818,Psychology Department,3.5
74877,Psychology Department,0
74878,Psychology Department,2.7
74890,Psychology Department,3.8
74895,Psychology Department,0
74915,Psychology Department,3.9
74930,Psychology Department,3.9
74937,Psychology Department,NA
75036,Psychology Department,3.4
75080,Psychology Department,3.8
75096,Psychology Department,3.8
75125,Psychology Department,3.6
75145,Psychology Department,3.3
75170,Psychology Department,3.8
75224,Psychology Department,3.7
75266,Psychology Department,4
75269,Psychology Department,NA
75277,Psychology Department,3.6
75329,Psychology Department,3.5
75352,Psychology Department,3.3
75418,Psychology Department,3.7
75434,Psychology Department,3.6
75446,Psychology Department,3.9
75521,Psychology Department,3.9
75534,Psychology Department,3.9
75623,Psychology Department,0
75628,Psychology Department,3.5
75648,Psychology Department,0
75655,Psychology Department,4
75686,Psychology Department,4
75773,Psychology Department,4
75796,Psychology Department,3.3
75813,Psychology Department,3.5
75835,Psychology Department,4
75840,Psychology Department,3.9
75868,Psychology Department,0
75875,Psychology Department,4
75984,Psychology Department,4
75986,Psychology Department,2.9
75992,Psychology Department,4
76016,Psychology Department,3.7
76023,Psychology Department,3.8
76041,Psychology Department,3.9
76097,Psychology Department,3.7
76120,Psychology Department,3.7
76163,Psychology Department,3.6
76203,Psychology Department,3.7
76247,Psychology Department,4
76254,Psychology Department,0
76268,Psychology Department,4
76277,Psychology Department,3.5
76289,Psychology Department,NA
76316,Psychology Department,0
76319,Psychology Department,3.5
76346,Psychology Department,3.9
76377,Psychology Department,3.8
76379,Psychology Department,3.8
76393,Psychology Department,0
76404,Psychology Department,3.1
76417,Psychology Department,4
76420,Psychology Department,3.6
76423,Psychology Department,0
76440,Psychology Department,3.9
76459,Psychology Department,2.9
76473,Psychology Department,NA
76497,Psychology Department,0
76500,Psychology Department,3.9
76529,Psychology Department,0
76535,Psychology Department,3.5
76541,Psychology Department,3.9
76543,Psychology Department,3.8
76553,Psychology Department,3.6
76584,Psychology Department,3.4
76598,Psychology Department,3.6
76645,Psychology Department,3
76652,Psychology Department,NA
76657,Psychology Department,3.7
76686,Psychology Department,3.9
76709,Psychology Department,3.5
76717,Psychology Department,3.2
76742,Psychology Department,NA
76743,Psychology Department,3.7
76745,Psychology Department,3.9
76772,Psychology Department,3.8
76812,Psychology Department,2.8
76827,Psychology Department,3.5
76865,Psychology Department,2.9
76867,Psychology Department,3.8
76882,Psychology Department,3.4
76954,Psychology Department,3.2
76973,Psychology Department,3.8
76983,Psychology Department,2.5
76997,Psychology Department,2.9
77014,Psychology Department,3.7
77020,Psychology Department,3.1
77022,Psychology Department,3.8
77027,Psychology Department,3.9
77060,Psychology Department,4
77092,Psychology Department,3.7
77122,Psychology Department,3.7
77136,Psychology Department,0
77137,Psychology Department,4
77152,Psychology Department,3.9
77153,Psychology Department,NA
77174,Psychology Department,3.7
